site_id,bit_index,trial,result,exit_code,stdout,stderr,dump
114,9,1,BASELINE,0,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/baseline.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/baseline.err,
114,9,1,SDC,0,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site114_bit9.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site114_bit9.err,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/dense-embedding_site114_bit9.bin
114,16,1,SDC,0,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site114_bit16.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site114_bit16.err,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/dense-embedding_site114_bit16.bin
126,9,1,SDC,0,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site126_bit9.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site126_bit9.err,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/dense-embedding_site126_bit9.bin
126,16,1,SDC,0,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site126_bit16.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site126_bit16.err,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/dense-embedding_site126_bit16.bin
124,9,1,SDC,0,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site124_bit9.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site124_bit9.err,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/dense-embedding_site124_bit9.bin
124,63,1,SDC,0,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site124_bit63.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site124_bit63.err,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/dense-embedding_site124_bit63.bin
132,23,1,SDC,0,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site132_bit23.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site132_bit23.err,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/dense-embedding_site132_bit23.bin
132,18,1,SDC,0,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site132_bit18.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site132_bit18.err,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/dense-embedding_site132_bit18.bin
122,9,1,SDC,0,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site122_bit9.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site122_bit9.err,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/dense-embedding_site122_bit9.bin
